Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
479,GovernmentChina,"PDataSystem- Sugon I620, Xeon E5-2640v3 8C 2.6GHz, 10G EthernetSugon","51,200","1,044.0","2,129.9",960
480,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","24,000","1,042.0","2,120.0",
481,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","24,000","1,042.0","2,120.0",
482,Internet Service AChina,"Inspur NF5588M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","24,000","1,042.0","1,968.0",
483,Internet Service AChina,"Inspur NF5588M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","24,000","1,042.0","1,968.0",
484,Internet Service AChina,"Inspur NF5588M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","24,000","1,042.0","1,968.0",
485,Network CompanyChina,"Internet Company N D1- Lenovo RD350, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetLenovo","61,000","1,038.4","2,147.2",
486,Internet Service (B)China,"Lenovo ThinkServer RD650, Xeon E5-2650v3 10C 2GHz, 10G EthernetLenovo","100,000","1,038.4","3,200.0","3,750"
487,Internet Service (B)China,"Inspur SA5212M4, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetInspur","52,800","1,038.0","1,858.6",
488,Internet Service (B)China,"Inspur SA5212M4, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetInspur","52,800","1,038.0","1,858.6",
489,Internet CompanyChina,"datalearningsystem- Sugon W740, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla P40, 10G EthernetSugon","210,000","1,036.0","2,112.0",750
490,MIT Lincoln Laboratory Supercomputing CenterUnited States,"TX-Green- S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-PathDell EMC","41,472","1,032.8","1,725.2",
491,GovernmentChina,"ThinkSystem Flex SN550, Xeon Gold 6150 18C 2.7GHz, 10G EthernetLenovo","22,320","1,031.1","1,928.4",
492,Internet Service AChina,"Inspur SA5212H5, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla P100, 10G EthernetInspur","57,600","1,030.0","1,908.0",
493,"TU Dresden, ZIHGermany","Taurus- bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDRBull, Atos Group","34,656","1,029.9","1,386.2",582
494,Centre for High Performance ComputingSouth Africa,"Lengau- PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDRDell EMC","32,856","1,029.3","1,366.8",685
495,Clemson UniversityUnited States,"Palmetto2- HP SL250s /Lenovo NX360M5, Dell C4130, XL190r/R740 , Xeon 6148G/E5-2665 8C 2.4GHz/E5-2670v2, FDR, K20m/K40/K20/P100HPE","12,592","1,029.0","3,025.0",
496,Internet Service (B)China,"Pdata-1- Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","58,800","1,028.0","2,069.8",735
497,Internet CompanyChina,"PVideo-A- Sugon I620, Xeon E5-2620v3 6C 2.4GHz, 10G EthernetSugon","54,000","1,026.0","2,073.6",900
498,Network CompanyChina,"Internet Company N D2- Lenovo RD350, Xeon E5-2630v4 10C 2.2GHz, 10G EthernetLenovo","60,000","1,022.0","2,112.0",
499,ROMEO HPC Center - Champagne-ArdenneFrance,"Romeo- Bull Sequana X1125, Xeon Gold 6132 14C 2.6GHz, Bull BXI 1.2, NVIDIA Tesla P100 NVLinkBull, Atos Group","17,640","1,022.0","1,484.0",127
500,Internet Service AChina,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","27,360","1,021.0","2,014.0",
